age,salary,monthly_expenses,savings,debt,dependents,investment_horizon,risk_score,savings_rate,emergency_fund_months,debt_to_income,profile
56,90309,6190.31,363481,21462,0,36,3,0.177,58.72,0.238,Balanced
69,163518,7793.51,416610,105506,1,38,8,0.428,53.46,0.645,Balanced
46,181805,8623.6,365394,121190,3,7,10,0.431,42.37,0.667,Balanced
32,139156,5142.25,191491,13174,2,5,10,0.557,37.24,0.095,Aggressive
60,96000,4485.49,497574,82719,4,6,6,0.439,110.93,0.862,Conservative
25,199704,13802.7,376216,5611,3,14,10,0.171,27.26,0.028,Aggressive
38,41576,1904.6,240385,112495,0,11,4,0.45,126.21,2.706,Balanced
56,23320,1697.27,265562,22393,3,37,8,0.127,156.46,0.96,Balanced
36,161822,11738.43,112183,136335,0,2,3,0.13,9.56,0.842,Conservative
40,123002,4404.44,288273,143068,1,31,2,0.57,65.45,1.163,Balanced
28,204535,7627.81,17199,141877,4,27,10,0.552,2.25,0.694,Balanced
28,46572,3199.77,375080,76003,0,16,8,0.176,117.22,1.632,Aggressive
41,37948,1789.94,316628,79423,3,2,4,0.434,176.89,2.093,Conservative
70,136528,4009.44,314007,100665,1,26,9,0.648,78.32,0.737,Balanced
53,189898,7922.38,269713,89461,2,16,3,0.499,34.04,0.471,Balanced
57,109051,6167.71,107315,143396,3,9,9,0.321,17.4,1.315,Balanced
41,47867,3149.63,448001,723,4,9,10,0.21,142.24,0.015,Aggressive
20,211303,7454.84,105226,99851,1,5,6,0.577,14.12,0.473,Aggressive
39,217334,7440.03,332707,58323,3,36,5,0.589,44.72,0.268,Aggressive
70,242428,17316.45,281743,129923,0,7,2,0.143,16.27,0.536,Conservative
19,223305,14200.93,451693,144477,0,32,6,0.237,31.81,0.647,Balanced
41,64678,3634.79,16122,126366,0,29,4,0.326,4.44,1.954,Balanced
61,127561,8217.61,419997,132437,3,37,5,0.227,51.11,1.038,Conservative
47,32963,1609.34,302077,57893,4,3,6,0.414,187.7,1.756,Conservative
55,215432,13772.4,40375,27338,0,30,7,0.233,2.93,0.127,Conservative
